Date,ASHOKLEY.NS,ASTRAL.NS,AUBANK.NS,AUROPHARMA.NS,BHARATFORG.NS,COFORGE.NS,CONCOR.NS,CUMMINSIND.NS,FEDERALBNK.NS,GODREJPROP.NS,HDFCAMC.NS,HINDPETRO.NS,IDEA.NS,IDFCFIRSTB.NS,INDHOTEL.NS,JUBLFOOD.NS,LUPIN.NS,MPHASIS.NS,MRF.NS,PAGEIND.NS,PERSISTENT.NS,PIIND.NS,POLYCAB.NS,UPL.NS,VOLTAS.NS
2021-11-17,136.51309204101562,1710.8287353515625,620.0167846679688,652.3889770507812,782.91650390625,5571.9990234375,635.3904418945312,885.2616577148438,94.1333236694336,2222.199951171875,2482.750732421875,194.37933349609375,9.949999809265137,49.5,213.9530792236328,779.23388671875,896.70458984375,3214.142578125,78976.7109375,39875.3671875,2110.831298828125,2868.263427734375,2459.855712890625,731.8394775390625,1217.6641845703125
2021-11-18,130.3419647216797,1720.533203125,604.848876953125,625.9625854492188,759.5093994140625,5316.98486328125,624.0245971679688,876.5948486328125,91.80664825439453,2177.39990234375,2439.38134765625,193.00796508789062,9.949999809265137,48.599998474121094,208.94049072265625,758.0853881835938,885.4236450195312,3117.512451171875,77076.875,39514.1953125,2035.032958984375,2842.07763671875,2451.990478515625,718.1344604492188,1217.417724609375
2021-11-22,124.96559143066406,1663.2032470703125,593.3920288085938,614.2665405273438,722.6433715820312,5179.72021484375,599.9557495117188,842.21484375,88.65594482421875,2116.199951171875,2354.14306640625,188.9832305908203,10.600000381469727,47.20000076293945,200.45384216308594,743.4633178710938,858.428466796875,3032.132568359375,75278.7734375,38427.27734375,2006.132080078125,2843.3154296875,2327.86962890625,693.968994140625,1168.3345947265625
2021-11-23,126.27462005615234,1662.568603515625,597.9249877929688,637.1204833984375,727.5198364257812,5206.10546875,609.0771484375,857.8724975585938,89.9162368774414,2177.35009765625,2391.089111328125,189.967041015625,10.600000381469727,48.75,205.71456909179688,755.5822143554688,869.9556274414062,3072.51171875,76118.4921875,39197.3046875,2043.0040283203125,2892.7666015625,2333.5224609375,702.4439086914062,1188.933837890625
2021-11-24,126.46162414550781,1630.54443359375,600.1416625976562,644.8526611328125,722.3019409179688,5131.4853515625,600.8630981445312,859.2611694335938,90.20706176757812,2182.5,2380.77392578125,193.24644470214844,11.0,48.75,204.62271118164062,748.6387329101562,881.4827880859375,2998.942138671875,76086.671875,38732.7578125,2008.503662109375,2870.045654296875,2307.174560546875,699.0055541992188,1182.330322265625
2021-11-25,125.05908966064453,1641.1817626953125,593.2425537109375,654.6890869140625,718.2952270507812,5250.8583984375,594.2249755859375,857.3457641601562,90.06165313720703,2239.35009765625,2375.24169921875,188.47640991210938,11.649999618530273,48.54999923706055,204.0271759033203,746.6122436523438,885.965576171875,3045.1103515625,75284.5390625,39140.7578125,1987.524658203125,2967.85888671875,2307.5185546875,704.4293823242188,1184.0550537109375
2021-11-26,117.48541259765625,1598.5203857421875,561.8358154296875,664.1340942382812,682.28271484375,5026.4736328125,576.8896484375,838.192626953125,85.9899673461914,2095.75,2356.440185546875,180.18844604492188,10.850000381469727,46.349998474121094,180.70126342773438,726.8346557617188,901.82763671875,2856.144287109375,74813.8671875,37934.3046875,1911.6287841796875,2903.75537109375,2216.72607421875,681.6683959960938,1147.53857421875
2021-11-29,113.37133026123047,1579.4476318359375,549.5072021484375,640.986572265625,681.2076416015625,5050.4248046875,571.3978271484375,837.04345703125,84.390380859375,2062.10009765625,2352.267333984375,176.75997924804688,11.199999809265137,45.150001525878906,171.2716522216797,723.2089233398438,879.807861328125,2790.13720703125,73448.6328125,37018.50390625,1962.071044921875,2925.189208984375,2177.05615234375,667.6727294921875,1160.0555419921875
2021-11-30,111.92204284667969,1640.54736328125,545.995361328125,646.222900390625,677.8849487304688,5182.91748046875,592.1715087890625,841.3050537109375,84.14801788330078,1996.699951171875,2354.89306640625,175.9550323486328,11.050000190734863,44.599998474121094,178.96424865722656,725.3446655273438,871.3349609375,2702.983154296875,74257.109375,37368.77734375,2023.956787109375,2840.84033203125,2267.062744140625,660.2633666992188,1183.7100830078125
2021-12-01,113.8855972290039,1652.7896728515625,559.818359375,648.52294921875,683.9439086914062,5132.34326171875,603.011962890625,876.4990844726562,85.84455871582031,1966.5,2392.30810546875,177.5351104736328,12.800000190734863,46.29999923706055,182.736083984375,735.2086181640625,858.5269165039062,2811.7041015625,73339.5390625,36878.921875,2057.283447265625,2913.705322265625,2292.132568359375,668.78662109375,1205.0484619140625
2021-12-02,112.20254516601562,1667.1595458984375,563.6040649414062,659.240234375,689.8076171875,5166.2666015625,610.5574340820312,880.6170043945312,86.1838607788086,2020.75,2397.46533203125,179.20462036132812,12.800000190734863,46.95000076293945,182.83534240722656,747.5758666992188,862.6649169921875,2900.865234375,73511.7890625,37235.078125,2148.06982421875,2923.75390625,2321.72509765625,676.2445678710938,1212.6868896484375
2021-12-03,112.81031799316406,1664.2855224609375,566.0449829101562,659.8275756835938,687.75537109375,5105.197265625,612.0379638671875,882.484375,86.47469329833984,2020.0999755859375,2418.705078125,177.9822998046875,14.449999809265137,47.25,190.87533569335938,755.0557861328125,860.1033325195312,2881.959228515625,73512.375,37397.87890625,2120.513916015625,2862.669677734375,2325.0185546875,690.3369140625,1228.653564453125
2021-12-06,111.50128936767578,1643.7945556640625,557.8258666992188,647.739990234375,672.314453125,4890.59326171875,601.1495971679688,885.2616577148438,85.0689926147461,1961.449951171875,2370.506103515625,177.71397399902344,15.0,46.599998474121094,185.61459350585938,736.3807373046875,845.5712890625,2822.207275390625,72762.8828125,37299.08203125,2073.7880859375,2824.30712890625,2296.802490234375,694.0174560546875,1208.64599609375
2021-12-07,114.49334716796875,1647.0045166015625,560.2417602539062,659.0444946289062,680.718994140625,4970.0322265625,607.1668090820312,903.7923583984375,86.91094207763672,2000.1500244140625,2364.5517578125,181.29151916503906,14.25,47.79999923706055,193.80348205566406,753.4266357421875,853.3545532226562,2844.754150390625,73240.3359375,37880.37890625,2042.3194580078125,2873.75830078125,2291.39501953125,704.0903930664062,1236.390625
